name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,55,30858,,8.27736,30849.72264,30866.27736,3,827.736,116.3939179,39.833874,24.83208
,56,30858.1,,3.55275,30854.54725,30861.65275,3,355.275,116.3932883,39.8338741,10.65825
,57,30859.85,,2.526813333,30857.32319,30862.37681,2,379.022,116.3928777,39.83387585,7.58044
,58,30875.2513,,5.740346667,30869.51095,30880.99165,4,430.526,116.3966835,39.83389125,17.22104
,59,30937,,5.38738,30931.61262,30942.38738,2,808.107,116.3923886,39.833953,16.16214
,60,30994.55,,10.431,30984.119,31004.981,2,1564.65,116.3914901,39.83401055,31.293
,61,31162.95,,4.458016667,31158.49198,31167.40802,5,267.481,116.3957413,39.83417895,13.37405
,62,31178.1,,4.53652,31173.56348,31182.63652,3,453.652,116.3965577,39.8341941,13.60956
,63,31182.579,,5.156333333,31177.42267,31187.73533,5,309.38,116.3960651,39.83419858,15.469
,64,31236.85,,4.44738,31232.40262,31241.29738,2,667.107,116.3975176,39.83425285,13.34214
,65,31304.8274,,8.944133333,31295.88327,31313.77153,2,1341.62,116.3916627,39.83432083,26.8324
,66,31423.75,,4.9586,31418.7914,31428.7086,6,247.93,116.3959301,39.83443975,14.8758
,67,31493.7275,,21.3486,31472.3789,31515.0761,6,1067.43,116.3923635,39.83450973,64.0458
,68,31494.726,,0.234611667,31494.49139,31494.96061,1,70.3835,116.3953653,39.83451073,0.703835
,69,31568.9758,,8.424466667,31560.55133,31577.40027,2,1263.67,116.3917714,39.83458498,25.2734
,70,31580.25,,4.27,31575.98,31584.52,6,213.5,116.3960935,39.83459625,12.81
,71,31673.4,,4.959746667,31668.44025,31678.35975,4,371.981,116.3935201,39.8346894,14.87924
,72,31687.8748,,4.942416667,31682.93238,31692.81722,5,296.545,116.3942155,39.83470387,14.82725
,73,31749.1,,4.34658,31744.75342,31753.44658,6,217.329,116.3962316,39.8347651,13.03974
,74,31775.9332,,4.213,31771.7202,31780.1462,3,421.3,116.3966622,39.83479193,12.639
,75,31888.6742,,7.796866667,31880.87733,31896.47107,2,1169.53,116.3917843,39.83490467,23.3906
,76,31903.65,,0.485973333,31903.16403,31904.13597,1,145.792,116.3957941,39.83491965,1.45792
,77,31976.25,,27.16172,31949.08828,32003.41172,12,679.043,116.3935201,39.83499225,81.48516
,78,32224.0902,,15.17985,32208.91035,32239.27005,5,910.791,116.3970217,39.83524009,45.53955
,79,32304.4022,,6.008773333,32298.39343,32310.41097,2,901.316,116.3928985,39.8353204,18.02632
,80,32308.25,,4.495333333,32303.75467,32312.74533,1,1348.6,116.3920735,39.83532425,13.486
,81,32323.85,,4.2284,32319.6216,32328.0784,1,1268.52,116.3937105,39.83533985,12.6852
