name,id,location,score,length,start,end
万泉新新家园,72,8070,1.373992303,206.0988455,7863.901155,8276.098845
万泉新新家园,73,8120,1.787653118,268.1479677,7851.852032,8388.147968
万泉新新家园,74,8170,1.950108827,292.5163241,7877.483676,8462.516324
万泉新新家园,75,8220,2.115603185,317.3404778,7902.659522,8537.340478
万泉新新家园,76,8270,2.281097543,342.1646315,7927.835369,8612.164631
万泉新新家园,77,8320,2.951452494,442.7178741,7877.282126,8762.717874
迪佳广场写字楼,78,8520,4.542789806,681.4184709,7838.581529,9201.418471
中国政务,79,8680,4.270132385,640.5198578,8039.480142,9320.519858
万柳汇新家园,80,8750,2.654910141,398.2365212,8351.763479,9148.236521
万柳汇新家园,81,8800,2.568174895,385.2262343,8414.773766,9185.226234
万柳汇新家园,82,8850,2.549409852,382.4114778,8467.588522,9232.411478
万柳新纪元家园,83,8980,2.472224933,370.83374,8609.16626,9350.83374
万柳新纪元家园,84,9090,2.605174685,390.7762028,8699.223797,9480.776203
光大花园,85,9190,2.519951658,377.9927487,8812.007251,9567.992749
光大花园,86,9260,2.517108272,377.5662408,8882.433759,9637.566241
锋尚国际公寓,87,9340,2.501496349,375.2244524,8964.775548,9715.224452
锋尚国际公寓,88,9440,3.028193406,454.2290109,8985.770989,9894.229011
北京市公安局海淀分局,89,9540,5.019576754,752.9365131,8787.063487,10292.93651
万柳亿城中心,90,9720,4.526525466,678.9788199,9041.02118,10398.97882
成于乐·乐府,91,9820,3.449990521,517.4985782,9302.501422,10337.49858
至高美术馆,92,9860,3.707490927,556.1236391,9303.876361,10416.12364
新起点嘉园,93,9880,3.465188009,519.7782014,9360.221799,10399.7782
新起点嘉园,94,9960,3.524344408,528.6516612,9431.348339,10488.65166
BHG Mall北京华联万柳购物中心,95,10370,3.788380628,568.2570942,9801.742906,10938.25709
石景山区市场监督管理局执法检查队,96,10570,3.665651065,549.8476598,10020.15234,11119.84766
北京银行,97,10640,3.521756006,528.2634009,10111.7366,11168.2634
北京万柳美中宜和妇儿医院,98,10670,4.291141583,643.6712375,10026.32876,11313.67124
北京市海淀区中关村第三小学（北区）,99,10770,2.924633312,438.6949968,10331.305,11208.695
万柳派顿大厦,100,10960,3.868667632,580.3001448,10379.69986,11540.30014
万柳汇新家园,101,11020,4.453547107,668.0320661,10351.96793,11688.03207
商业建筑,102,11070,3.465409216,519.8113824,10550.18862,11589.81138
万柳汇新家园,103,11120,3.424191809,513.6287714,10606.37123,11633.62877
康桥蜂鸟园社区,104,11230,3.841275294,576.1912941,10653.80871,11806.19129
商业建筑,105,11290,3.190128523,478.5192785,10811.48072,11768.51928
蜂鸟社区,106,11360,3.134112412,470.1168618,10889.88314,11830.11686
北京市海淀区中关村第三小学,107,11520,4.006744459,601.0116689,10918.98833,12121.01167
北京大学万柳公寓,108,11640,2.906780866,436.0171299,11203.98287,12076.01713
华夏银行,109,11680,3.057432009,458.6148014,11221.3852,12138.6148
海淀区人民政府,110,11810,3.179236202,476.8854303,11333.11457,12286.88543
国家行政学院,111,11940,3.82361863,573.5427945,12513.54279,11366.45721
厂洼社区,112,12260,2.778780463,416.8170695,11843.18293,12676.81707
厂洼小区-11号楼,113,12300,1.684099066,252.6148599,12047.38514,12552.61486
厂洼小区-10号楼,114,12370,1.592626755,238.8940133,12131.10599,12608.89401
中国中铁一局,115,12520,1.866445043,279.9667565,12240.03324,12799.96676
西三环北路1号院办公楼,116,12560,2.261212136,339.1818204,12220.81818,12899.18182
